Created at	Closed at	Updated at	Saved at	State	Labels
Wed Mar 14 21:02:27 CET 2018	Wed Mar 21 03:22:46 CET 2018	Wed Mar 21 03:22:46 CET 2018	null	closed	[bug, unstable formatting]	
Wed Mar 14 21:03:40 CET 2018	Tue Apr 17 21:52:18 CEST 2018	Tue Apr 17 21:52:18 CEST 2018	null	closed	[bug, lib2to3]	
Wed Mar 14 21:04:06 CET 2018	Mon Apr 09 23:36:41 CEST 2018	Mon Apr 09 23:36:41 CEST 2018	null	closed	[bug, lib2to3]	
Thu Mar 15 09:34:40 CET 2018	Sat Mar 17 09:00:15 CET 2018	Sat Mar 17 09:01:06 CET 2018	null	closed	[bug, unstable formatting]	
Thu Mar 15 10:00:04 CET 2018	Wed Mar 21 02:58:06 CET 2018	Wed Mar 21 02:58:06 CET 2018	null	closed	[bug, lib2to3]	
Thu Mar 15 10:06:35 CET 2018	Sat Mar 17 05:45:53 CET 2018	Sat Mar 17 05:52:53 CET 2018	null	closed	[bug, good first issue]	
Thu Mar 15 10:26:22 CET 2018	Fri Mar 30 06:11:49 CEST 2018	Fri Mar 30 06:56:34 CEST 2018	null	closed	[bug, comments]	
Thu Mar 15 22:04:34 CET 2018	Thu Mar 22 17:44:22 CET 2018	Thu Mar 22 17:44:30 CET 2018	null	closed	[bug, duplicate, unstable formatting]	
Thu Mar 15 22:05:33 CET 2018	Sat Mar 17 09:00:15 CET 2018	Sat Mar 17 09:01:44 CET 2018	null	closed	[bug, unstable formatting]	
Sat Mar 17 05:04:19 CET 2018	Sat Mar 17 09:29:04 CET 2018	Sat Mar 17 09:29:04 CET 2018	null	closed	[bug, help wanted]	
Sun Mar 18 16:42:37 CET 2018	Wed Mar 21 03:20:22 CET 2018	Wed Mar 21 03:20:22 CET 2018	null	closed	[bug, comments]	
Wed Mar 21 05:23:39 CET 2018	Thu Mar 22 02:36:45 CET 2018	Thu Mar 22 02:38:00 CET 2018	null	closed	[bug, good first issue]	
Wed Mar 21 10:42:37 CET 2018	Wed Mar 21 15:51:07 CET 2018	Wed Mar 21 15:51:51 CET 2018	null	closed	[invalid, not a bug]	
